Day,Price in Dollars per Million Btu
1/3/2022,4.36
28/2/2022,4.46
25/2/2022,4.63
24/2/2022,4.78
23/2/2022,4.59
22/2/2022,4.48
18/2/2022,4.61
17/2/2022,4.57
16/2/2022,4.39
15/2/2022,4.31
14/2/2022,4.05
11/2/2022,4.04
10/2/2022,4.03
9/2/2022,4.13
8/2/2022,4.3
7/2/2022,4.44
4/2/2022,5.34
3/2/2022,5.84
2/2/2022,6.7
1/2/2022,5.45
31/1/2022,5.56
28/1/2022,5.69
27/1/2022,4.43
26/1/2022,4.43
25/1/2022,4.24
24/1/2022,4.2
21/1/2022,4.11
20/1/2022,4.45
19/1/2022,4.89
18/1/2022,4.55
14/1/2022,4.37
13/1/2022,4.78
12/1/2022,4.62
11/1/2022,4.16
10/1/2022,4.16
7/1/2022,3.83
6/1/2022,3.94
5/1/2022,3.78
4/1/2022,3.73
3/1/2022,3.74
31/12/2021,3.82
30/12/2021,3.82
29/12/2021,3.4
28/12/2021,3.32
27/12/2021,3.45
23/12/2021,3.56
22/12/2021,3.95
21/12/2021,3.96
20/12/2021,3.91
17/12/2021,3.71
16/12/2021,3.67
15/12/2021,3.79
14/12/2021,3.71
13/12/2021,4.05
10/12/2021,3.65
9/12/2021,3.67
8/12/2021,3.79
7/12/2021,3.6
6/12/2021,3.66
3/12/2021,3.79
2/12/2021,4.08
1/12/2021,4.31
30/11/2021,4.52
29/11/2021,4.9
24/11/2021,4.93
23/11/2021,4.95
22/11/2021,4.83
19/11/2021,4.9
18/11/2021,4.95
17/11/2021,4.82
16/11/2021,5.11
15/11/2021,4.77
12/11/2021,4.97
11/11/2021,4.81
10/11/2021,4.56
9/11/2021,5.08
8/11/2021,5.53
5/11/2021,5.51
4/11/2021,5.73
3/11/2021,5.59
2/11/2021,5.33
1/11/2021,5.22
29/10/2021,5.49
28/10/2021,5.68
27/10/2021,5.91
26/10/2021,5.59
25/10/2021,5.72
22/10/2021,5.1
21/10/2021,4.94
20/10/2021,4.87
19/10/2021,4.81
18/10/2021,5.01
